,title,price,year,link,brand,age
0,2003 victory v92c cruiser motorcycle super low miles 875,4750,2003.0,https://charlottesville.craigslist.org/mcy/d/somerset-2003-victory-v92c-cruiser/7879050882.html,victory,22.0
1,ducati scrambler icon 2015 803cc,4899,2015.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-ducati-scrambler-icon-cc/7878863594.html,missing,10.0
2,1999. yamaha1100 vstar,3500,1999.0,https://charlottesville.craigslist.org/mcy/d/buena-vista-1999-yamaha1100-vstar/7878644043.html,missing,26.0
3,zero fxs zf7.2,5800,,https://charlottesville.craigslist.org/mcy/d/charlottesville-zero-fxs-zf72/7878303633.html,missing,
4,2013  650 black yamaha vstar,2800,2013.0,https://charlottesville.craigslist.org/mcy/d/louisa-black-yamaha-vstar/7877979105.html,yamaha,12.0
5,vintage motorcycle mechanic,0,,https://charlottesville.craigslist.org/mcy/d/keswick-vintage-motorcycle-mechanic/7877735152.html,missing,
6,motorcycle,3500,,https://charlottesville.craigslist.org/mcy/d/crimora-motorcycle/7877159337.html,missing,
7,mopeds and parts,500,,https://charlottesville.craigslist.org/mcy/d/charlottesville-mopeds-and-parts/7876708701.html,missing,
8,2001 h-d road king classic (flhrci),5500,2001.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-2001-d-road-king/7876412839.html,h-d,24.0
9,"2011 bmw r1200rt with new tires, extras",5800,2011.0,https://charlottesville.craigslist.org/mcy/d/roanoke-2011-bmw-r1200rt-with-new-tires/7876261355.html,bmw,14.0
10,1989 honda goldwing gl-1500,2000,1989.0,https://charlottesville.craigslist.org/mcy/d/white-hall-1989-honda-goldwing-gl-1500/7874184517.html,honda,36.0
11,2007 harley fxdl,8000,2007.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-2007-harley-fxdl/7874163390.html,harley,18.0
12,segway - ninebot f2 (priced to move!),290,,https://charlottesville.craigslist.org/mcy/d/charlottesville-segway-ninebot-f2/7873714689.html,missing,
13,ultimate classic bike 1968 triumph bonneville,0,1968.0,https://charlottesville.craigslist.org/mcy/d/crozet-ultimate-classic-bike-1968/7873430456.html,triumph,57.0
